"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18113;2;"18113X2";"K0001";"5836256";1480;780;0;960;1140;260;0
18113;2;"18113X2";"K0001";"5836261";1480;520;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836266";1480;260;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836268";1480;0;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836270";1220;1920;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836286";1220;0;1400;960;1140;260;0
18113;2;"18113X2";"K0001";"5836290";1220;0;1140;960;1140;260;0
18113;2;"18113X2";"K0001";"5836296";1220;960;0;260;960;1140;0
18113;1;"18113X1";"K0001";"5836300";1500;300;300;1140;1550;300;0
18113;2;"18113X2";"K0001";"5836302";1220;0;0;260;960;1140;0
18113;2;"18113X2";"K0001";"5836305";260;0;2080;1140;960;260;0
18113;2;"18113X2";"K0001";"5836307";260;0;1820;1140;960;260;0
18113;2;"18113X2";"K0001";"5836313";260;1660;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836315";260;1400;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836321";260;1140;1660;1140;960;260;0
18113;1;"18113X1";"K0001";"5836322";1500;300;0;1140;1550;300;0
18113;2;"18113X2";"K0001";"5836323";260;1140;1400;1140;960;260;0
18113;2;"18113X2";"K0001";"5836328";260;1140;1140;1140;960;260;0
18113;2;"18113X2";"K0001";"5836330";260;1140;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836331";260;0;1560;960;1140;260;0
18113;2;"18113X2";"K0001";"5836335";260;0;1300;960;1140;260;0
18113;2;"18113X2";"K0001";"5836339";260;0;1040;960;1140;260;0
18113;2;"18113X2";"K0001";"5836343";260;0;780;960;1140;260;0
18113;2;"18113X2";"K0001";"5836345";260;0;520;960;1140;260;0
18113;2;"18113X2";"K0001";"5836353";260;0;260;960;1140;260;0
18113;2;"18113X2";"K0001";"5836359";260;0;0;960;1140;260;0
18113;2;"18113X2";"K0001";"5836363";0;2360;1140;960;260;1140;0
18113;2;"18113X2";"K0001";"5836364";0;2360;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836365";0;2100;1140;960;260;1140;0
18113;1;"18113X1";"K0001";"5836367";1500;0;0;1140;300;1550;0
18113;2;"18113X2";"K0001";"5836370";0;2100;0;960;260;1140;0
18113;2;"18113X2";"K0001";"5836381";0;960;1920;960;1140;260;0
18113;2;"18113X2";"K0001";"5836382";0;960;960;260;1140;960;0
18113;2;"18113X2";"K0001";"5836387";0;960;0;260;1140;960;0
18113;2;"18113X2";"K0001";"5836389";0;0;1140;260;960;1140;0
18113;2;"18113X2";"K0001";"5836390";0;0;0;260;960;1140;0
18113;1;"18113X1";"K0001";"5836395";9990;0;1910;1140;960;260;0
18113;1;"18113X1";"K0001";"5836401";8850;0;1910;1140;960;260;0
18113;1;"18113X1";"K0001";"5836405";7890;0;1910;960;1140;260;0
18113;1;"18113X1";"K0001";"5836406";10170;0;950;1140;260;960;0
18113;1;"18113X1";"K0001";"5836410";9030;0;950;1140;260;960;0
18113;1;"18113X1";"K0001";"5836412";7890;0;950;1140;260;960;0
18113;1;"18113X1";"K0001";"5836413";6930;0;950;960;260;1140;0
18113;1;"18113X1";"K0001";"5836418";11730;1440;0;260;1140;960;0
18113;1;"18113X1";"K0001";"5836421";11470;1440;0;260;1140;960;0
18113;1;"18113X1";"K0001";"5836426";360;1800;1160;1550;300;1140;0
18113;1;"18113X1";"K0001";"5836433";11730;300;0;260;1140;960;0
18113;1;"18113X1";"K0001";"5836442";11470;300;0;260;1140;960;0
18113;1;"18113X1";"K0001";"5836450";10330;2120;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836451";10330;1860;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836454";10330;1600;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836457";10330;1340;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836462";360;1500;1160;1550;300;1140;0
18113;1;"18113X1";"K0001";"5836464";10330;1080;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836468";360;1200;1160;1550;300;1140;0
18113;1;"18113X1";"K0001";"5836469";10330;820;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836470";10330;560;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836476";10330;300;0;1140;260;960;0
18113;1;"18113X1";"K0001";"5836480";1500;600;900;1140;960;260;0
18113;2;"18113X2";"K0001";"5836866";260;1920;0;950;134;1120;0
18113;1;"18113X1";"K0001";"5844101";9080;1500;0;300;1140;950;0
18113;1;"18113X1";"K0001";"5844120";8780;1500;0;300;1140;950;0
18113;1;"18113X1";"K0001";"5849253";360;900;1160;1550;300;1140;0
18113;1;"18113X1";"K0001";"5849267";360;600;1160;1550;300;1140;0
18113;1;"18113X1";"K0001";"5849268";360;600;860;1140;1550;300;0
18113;2;"18113X2";"K0001";"5849271";11660;0;1140;280;480;1140;0
18113;2;"18113X2";"K0001";"5849273";11660;2180;0;280;480;1140;0
18113;2;"18113X2";"K0001";"5849280";10520;2180;280;1140;480;280;0
18113;2;"18113X2";"K0001";"5849287";9380;2180;280;1140;480;280;0
18113;1;"18113X1";"K0001";"5849296";360;600;560;1140;1550;300;0
18113;1;"18113X1";"K0001";"5849297";360;600;260;1140;1550;300;0
18113;1;"18113X1";"K0001";"5849318";360;300;260;1140;300;1550;0
18113;2;"18113X2";"K0001";"5849321";8240;2180;280;1140;480;280;0
18113;1;"18113X1";"K0001";"5849329";360;0;260;1140;300;1550;0
18113;2;"18113X2";"K0001";"5849330";7960;2180;280;280;480;1140;0
18113;2;"18113X2";"K0001";"5849351";10240;2180;0;1140;480;280;0
18113;2;"18113X2";"K0001";"5849356";9100;2180;0;1140;480;280;0
18113;2;"18113X2";"K0001";"5849362";7960;2180;0;1140;480;280;0
18113;2;"18113X2";"K0001";"5849364";11320;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849368";11040;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849370";10760;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849374";10480;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849376";10200;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849379";9920;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849400";9640;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849408";9360;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849415";9080;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849418";8800;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849424";8520;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849429";8240;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849430";7960;1040;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849434";11680;480;0;280;1140;480;0
18113;2;"18113X2";"K0001";"5849435";10540;760;0;1140;280;480;0
18113;2;"18113X2";"K0001";"5849442";9400;760;0;1140;280;480;0
18113;1;"18113X1";"K0001";"5849471";0;1120;0;360;1120;2240;0
18113;1;"18113X1";"K0001";"5849481";0;0;0;360;1120;2240;0
18113;2;"18113X2";"K0001";"5849559";8920;760;0;480;280;1140;0
18113;2;"18113X2";"K0001";"5849631";8440;760;0;480;280;1140;0
18113;2;"18113X2";"K0001";"5849672";7960;760;0;480;280;1140;0
18113;1;"18113X1";"K0001";"5849767";6740;2100;1140;1140;280;950;0
18113;1;"18113X1";"K0001";"5849768";8780;1200;0;950;300;1140;0
18113;2;"18113X2";"K0001";"5849770";10240;480;0;1140;280;480;0
18113;1;"18113X1";"K0001";"5849771";8780;900;0;950;300;1140;0
