"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18092;13;"18092X13";"K0001";"5688829";6270;2280;0;950;280;1140;0
18092;18;"18092X18";"K0001";"5688830";260;1920;0;950;134;1120;0
18092;12;"18092X12";"K0001";"5688831";1250;900;1140;950;1140;300;0
18092;3;"18092X3";"K0001";"5688832";9540;300;0;300;1140;1550;0
18092;2;"18092X2";"K0001";"5688833";7700;2340;780;1570;260;1120;0
18092;2;"18092X2";"K0001";"5688834";7700;2080;780;1570;260;1120;0
18092;2;"18092X2";"K0001";"5688835";7700;1820;780;1570;260;1120;0
18092;12;"18092X12";"K0001";"5688836";1250;600;1140;950;300;1140;0
18092;2;"18092X2";"K0001";"5688837";7700;1560;780;1570;260;1120;0
18092;2;"18092X2";"K0001";"5688838";7700;1300;780;1570;260;1120;0
18092;12;"18092X12";"K0001";"5688839";1250;300;1140;950;300;1140;0
18092;17;"18092X17";"K0001";"5688840";4180;1300;1220;960;1140;260;0
18092;3;"18092X3";"K0001";"5688841";9240;1440;0;300;1140;1550;0
18092;3;"18092X3";"K0001";"5688842";9240;300;0;300;1140;1550;0
18092;3;"18092X3";"K0001";"5688843";8940;1440;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5688844";4180;1300;960;960;1140;260;0
18092;19;"18092X19";"K0001";"5688845";6440;760;480;480;1140;280;0
18092;3;"18092X3";"K0001";"5688846";8940;300;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5688847";4180;1040;960;1140;260;960;0
18092;3;"18092X3";"K0001";"5688848";8640;1440;0;300;1140;1550;0
18092;3;"18092X3";"K0001";"5688849";8640;300;0;300;1140;1550;0
18092;17;"18092X17";"K0001";"5688850";4180;780;960;1140;260;960;0
18092;19;"18092X19";"K0001";"5688851";11480;1420;0;480;280;1140;0
18092;17;"18092X17";"K0001";"5688852";3400;960;1920;1140;960;260;0
18092;19;"18092X19";"K0001";"5688853";11480;280;480;480;1140;280;0
18092;17;"18092X17";"K0001";"5688854";3400;0;1920;1140;960;260;0
18092;17;"18092X17";"K0001";"5688855";3920;780;960;260;1140;960;0
18092;17;"18092X17";"K0001";"5688856";3660;780;960;260;1140;960;0
18092;19;"18092X19";"K0001";"5688857";11000;280;480;480;1140;280;0
18092;17;"18092X17";"K0001";"5688858";3400;780;960;260;1140;960;0
18092;19;"18092X19";"K0001";"5688859";9860;280;480;1140;480;280;0
18092;17;"18092X17";"K0001";"5688860";3400;520;960;1140;260;960;0
18092;19;"18092X19";"K0001";"5688861";8720;280;480;1140;480;280;0
18092;17;"18092X17";"K0001";"5688862";3400;260;960;1140;260;960;0
18092;19;"18092X19";"K0001";"5688863";7580;280;480;1140;480;280;0
18092;17;"18092X17";"K0001";"5688864";3400;0;960;1140;260;960;0
18092;17;"18092X17";"K0001";"5688865";3400;1820;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688866";3400;1560;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688867";3400;1300;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688868";3400;1040;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688869";3400;780;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688870";3400;520;0;1140;260;960;0
18092;19;"18092X19";"K0001";"5688871";6440;280;480;1140;480;280;0
